GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G1,12,339,-0.25203922390937805,-0.6134907603263855,1.1058464050292969
G1,12,440,-0.7058074474334717,-0.45914116501808167,0.637913167476654
G1,12,543,-0.25643521547317505,-0.21003267168998718,1.1800905466079712
G1,12,645,0.09329357743263245,0.11283150315284729,0.9373317956924438
G1,12,745,0.01758413016796112,0.10306254774332047,1.0262293815612793
G1,12,848,-0.024910852313041687,0.09622427076101303,1.102427363395691
G1,12,953,-0.02149171382188797,0.08108238130807877,1.0457673072814941
G1,13,49,0.07717479765415192,0.09231668710708618,1.0281832218170166
G1,13,152,0.6408438682556152,0.07326721400022507,1.0648167133331299
G1,13,254,0.9690809845924377,-0.4830751419067383,1.0408828258514404
G1,13,357,-0.33995985984802246,0.10452788323163986,0.5509694218635559
G1,13,460,-0.11185459792613983,0.13920769095420837,1.1146385669708252
G1,13,563,-0.04786791279911995,0.18316802382469177,0.9832459688186646
G1,13,665,-0.012211201712489128,0.24031643569469452,0.9514968395233154
G1,13,766,-0.012699649669229984,0.22370919585227966,0.9119325876235962
G1,13,868,-0.041518084704875946,0.17632974684238434,0.9754307270050049
G1,14,72,0.20026370882987976,0.08352462202310562,1.0770279169082642
G1,14,174,0.9866651296615601,0.07717479765415192,0.9837344288825989
G1,14,276,-0.24227024614810944,-0.791774332523346,1.574268102645874
G1,14,377,-0.13725391030311584,-0.5651344060897827,1.3261364698410034
G1,14,480,0.16753768920898438,0.011234304867684841,0.9514968395233154
G1,14,581,0.11283150315284729,0.09378202259540558,0.9319589138031006
G1,14,683,0.04689101129770279,0.020026370882987976,1.034532904624939
G1,14,784,0.0815708264708519,0.003419136628508568,1.037463665008545
G1,14,886,0.10697013139724731,0.02637619711458683,0.9783614873886108
G1,14,987,-0.03419136255979538,-0.014164994470775127,1.1629948616027832
G1,15,28,-0.014653442427515984,0.0439603254199028,1.0848431587219238
G1,15,121,0.414203941822052,0.1616763025522232,0.9681040048599243
G1,15,221,0.5832070112228394,-0.34630969166755676,0.682361900806427
G1,15,324,-0.3375176191329956,-0.8205927610397339,1.2474963665008545
G1,15,425,-0.27988073229789734,-0.35559019446372986,1.0276947021484375
G1,15,527,-0.04347187653183937,-0.05910221487283707,1.1283150911331177
G1,15,628,0.007326721213757992,0.0376105010509491,0.9695694446563721
G1,15,730,0.016118785366415977,0.023445505648851395,1.0306254625320435
G1,15,833,0.03077222779393196,0.009280513972043991,1.0486979484558105
G1,15,934,0.06691738963127136,0.02637619711458683,0.9651733636856079
G1,15,1036,0.06007910892367363,0.050310149788856506,0.8909292817115784
G1,16,22,0.2007521539926529,0.00879206508398056,0.5553654432296753
G1,16,107,0.7292529940605164,-0.016607234254479408,0.5543885827064514
G1,16,208,-0.940262496471405,-0.7947050333023071,1.5273771286010742
G1,16,311,-0.6213059425354004,-0.3956429064273834,1.4174762964248657
G1,16,413,0.045425668358802795,0.18121424317359924,0.8777411580085754
G1,16,514,0.0659404918551445,0.23933956027030945,0.9930148720741272
G1,16,617,-0.07619789987802505,0.2305474877357483,1.1278265714645386
G1,16,718,0.05275239422917366,0.24764317274093628,0.9407509565353394
G1,16,820,0.036633607000112534,0.25985437631607056,0.9148632287979126
G1,16,922,-0.11722753942012787,0.2447124719619751,0.9651733636856079
G1,17,54,0.6227713227272034,0.22077852487564087,1.0589553117752075
G1,17,155,0.6794312596321106,-0.1411614865064621,0.9246321320533752
G1,17,258,0.01709568127989769,-0.655008852481842,0.857714831829071
G1,17,360,-0.8645530939102173,-0.28623056411743164,1.2220970392227173
G1,17,461,-0.12211201339960098,0.14653442800045013,0.941727876663208
G1,17,563,-0.028818435966968536,0.17291061580181122,0.9182823300361633
G1,17,664,-0.02686464414000511,0.117715984582901,1.0262293815612793
G1,17,766,-0.016607234254479408,0.07326721400022507,1.0394175052642822
G1,17,869,-0.0053729284554719925,0.11087770760059357,1.0389289855957031
G1,18,62,-0.06642893701791763,0.15141889452934265,1.041859745979309
G1,18,164,0.7409756779670715,0.13285787403583527,1.0408828258514404
G1,18,265,0.32579487562179565,-0.5333852767944336,1.3222289085388184
G1,18,367,-0.5651344060897827,-0.44009169936180115,0.923166811466217
G1,18,467,-0.5973719954490662,-0.11185459792613983,1.1131731271743774
G1,18,570,-0.036633607000112534,0.1587456315755844,1.0027838945388794
G1,18,671,-0.09817805886268616,0.12650804221630096,1.0951006412506104
G1,18,773,-0.05324083939194679,0.11429684609174728,1.0384405851364136
G1,18,874,-0.024910852313041687,0.1113661602139473,1.120988368988037
G1,18,976,-0.04054119065403938,0.13725391030311584,0.9568697810173035
G1,18,1078,-0.13432320952415466,0.07961703091859818,1.0574899911880493
G1,19,74,0.5172664523124695,0.1646070033311844,0.9661502838134766
G1,19,174,0.5939528942108154,-0.48454049229621887,0.9065596461296082
G1,19,278,0.2622966170310974,-0.8674837350845337,0.774678647518158
G1,19,380,-1.133687973022461,-0.20612509548664093,1.1107308864593506
